,kgMid,name,musicAnalyticsSectionRenderer_content_trackTypes_trackViews_id,data_inicio
44,/g/11c602sm4t,Zé Neto & Cristiano,Y:B5WhTYUQGnA,2019-01-18
45,/m/0124x5pq,Wesley Safadão,Y:4PCEEvzdm1c,2019-01-18
46,/g/11gr6vzdh1,Melim,Y:SuG2n1PbswA,2019-01-18
47,/g/11c602sm4t,Zé Neto & Cristiano,Y:BwHg2maLyXg,2019-01-18
48,/g/11c2lywr2r,MC Mirella,Y:QEzpYbdvo9A,2019-01-18
49,/g/12tb7_98j,POCAH,Y:QEzpYbdvo9A,2019-01-18
50,/g/11c602sm4t,Zé Neto & Cristiano,Y:bAVkCkAQmsw,2019-01-18
51,/m/0j9m6s7,Gusttavo Lima,Y:Flbb7kQnN9I,2019-01-18
52,/g/11byhkk3nl,Lexa,Y:KDEPqwQhYNY,2019-01-18
53,/g/11g9fl0gh5,MC Lan,Y:KDEPqwQhYNY,2019-01-18
54,/g/11f5vgp9qk,Mc Bruninho,Y:h5Y0D2TGYH4,2019-01-18
55,/g/11f655yjcs,MC Vitinho Ferrari,Y:h5Y0D2TGYH4,2019-01-18
56,/g/11h9vqkc4h,Diego & Victor Hugo,Y:7jTskrMCYY4,2019-01-18
57,/g/11h_cx894k,MC WM,Y:37-bazO9koQ,2019-01-18
